month_year,num_injured(thousands),num_killed(tens),num_affected(thousands)
2012-07-01,1.344,0.5,1.349
2012-08-01,1.271,0.6,1.277
2012-09-01,1.289,0.6,1.295
2012-10-01,1.256,0.3,1.259
2012-11-01,1.056,0.5,1.061
2012-12-01,1.31,0.8,1.318
2013-01-01,1.095,0.9,1.104
2013-02-01,0.938,0.3,0.941
2013-03-01,1.122,0.7,1.129
2013-04-01,1.281,0.5,1.286
2013-05-01,1.419,0.4,1.423
2013-06-01,1.453,0.3,1.456
2013-07-01,1.443,0.6,1.449
2013-08-01,1.413,1.0,1.423
2013-09-01,1.398,0.4,1.402
2013-10-01,1.341,0.8,1.349
2013-11-01,1.307,0.4,1.311
2013-12-01,1.203,0.4,1.207
2014-01-01,1.053,0.5,1.058
2014-02-01,0.813,0.6,0.819
2014-03-01,1.108,0.6,1.114
2014-04-01,1.165,0.6,1.171
2014-05-01,1.201,0.9,1.21
2014-06-01,1.398,0.5,1.403
2014-07-01,1.242,0.7,1.249
2014-08-01,1.26,0.4,1.264
2014-09-01,1.295,0.5,1.3
2014-10-01,1.337,0.4,1.341
2014-11-01,1.167,0.5,1.172
2014-12-01,1.206,0.5,1.211
2015-01-01,0.948,0.2,0.95
2015-02-01,0.719,0.6,0.725
2015-03-01,0.947,0.3,0.95
2015-04-01,1.061,0.4,1.065
2015-05-01,1.335,0.9,1.344
2015-06-01,1.208,0.6,1.214
2015-07-01,1.275,0.5,1.28
2015-08-01,1.289,0.7,1.296
2015-09-01,1.265,0.2,1.267
2015-10-01,1.215,0.5,1.22
2015-11-01,1.214,1.0,1.224
2015-12-01,1.23,0.8,1.238
2016-01-01,1.02,0.3,1.023
2016-02-01,0.944,0.4,0.948
2016-03-01,0.689,0.0,0.689
2016-04-01,0.316,0.1,0.317
2016-05-01,1.109,0.6,1.115
2016-06-01,1.206,0.4,1.21
2016-07-01,1.224,0.0,1.224
2016-08-01,1.111,0.3,1.114
2016-09-01,1.121,0.2,1.123
2016-10-01,1.029,0.0,1.029
2016-11-01,1.017,0.2,1.019
2016-12-01,0.991,0.5,0.996
2017-01-01,0.939,0.7,0.946
2017-02-01,0.777,0.3,0.78
2017-03-01,0.94,0.2,0.942
2017-04-01,0.842,0.3,0.845
2017-05-01,1.122,0.0,1.122
2017-06-01,1.187,0.3,1.19
2017-07-01,1.076,0.4,1.08
2017-08-01,0.997,0.4,1.001
2017-09-01,0.905,0.4,0.909
2017-10-01,0.935,0.3,0.938
2017-11-01,1.02,0.4,1.024
2017-12-01,1.044,0.2,1.046
2018-01-01,0.98,0.2,0.982
2018-02-01,0.805,0.1,0.806
2018-03-01,0.966,0.6,0.972
2018-04-01,0.924,0.0,0.924
2018-05-01,1.192,0.1,1.193
2018-06-01,1.195,0.8,1.203
2018-07-01,1.178,0.3,1.181
2018-08-01,1.269,0.2,1.271
2018-09-01,1.254,0.4,1.258
2018-10-01,1.148,0.5,1.153
2018-11-01,0.922,0.1,0.923
2018-12-01,1.156,0.4,1.16
2019-01-01,0.948,0.5,0.953
2019-02-01,0.846,0.1,0.847
2019-03-01,0.954,0.5,0.959
2019-04-01,1.009,0.1,1.01
2019-05-01,1.196,0.6,1.202
2019-06-01,1.186,0.8,1.194
2019-07-01,1.276,0.6,1.282
2019-08-01,1.157,0.4,1.161
2019-09-01,1.066,0.4,1.07
2019-10-01,1.073,0.6,1.079
2019-11-01,1.004,0.2,1.006
2019-12-01,1.064,0.8,1.072
2020-01-01,0.892,0.5,0.897
2020-02-01,0.821,0.3,0.824
2020-03-01,0.622,0.0,0.622
2020-04-01,0.276,0.2,0.278
2020-05-01,0.538,0.0,0.538
2020-06-01,0.849,0.5,0.854
2020-07-01,0.965,0.8,0.973
2020-08-01,1.039,0.3,1.042
2020-09-01,0.994,0.6,1.0
2020-10-01,0.903,0.3,0.906
2020-11-01,0.86,0.3,0.863
2020-12-01,0.713,1.0,0.723
2021-01-01,0.671,0.0,0.671
2021-02-01,0.538,0.4,0.542
2021-03-01,0.785,0.2,0.787
2021-04-01,0.918,0.8,0.926
2021-05-01,1.093,0.6,1.099
2021-06-01,1.138,0.5,1.143
2021-07-01,1.052,0.6,1.058
2021-08-01,1.106,0.8,1.114
2021-09-01,1.139,0.6,1.145
2021-10-01,1.047,0.0,1.047
2021-11-01,0.983,0.3,0.986
2021-12-01,0.944,0.2,0.946
2022-01-01,0.697,0.4,0.701
2022-02-01,0.724,0.7,0.731
2022-03-01,0.9,0.2,0.902
2022-04-01,0.85,0.1,0.851
2022-05-01,0.973,0.2,0.975
2022-06-01,1.095,0.8,1.103
2022-07-01,1.092,0.1,1.093
2022-08-01,1.059,0.4,1.063
2022-09-01,0.976,0.2,0.978
2022-10-01,1.011,0.6,1.017
2022-11-01,0.866,0.3,0.869
2022-12-01,0.917,0.6,0.923
2023-01-01,0.828,0.2,0.83
2023-02-01,0.777,0.2,0.779
2023-03-01,0.942,0.4,0.946
2023-04-01,0.951,0.3,0.954
2023-05-01,1.083,0.5,1.088
2023-06-01,1.056,0.5,1.061
2023-07-01,1.189,0.4,1.193
2023-08-01,1.089,0.3,1.092
2023-09-01,1.112,0.5,1.117
2023-10-01,1.157,0.4,1.161
2023-11-01,1.02,0.6,1.026
2023-12-01,0.967,0.1,0.968
2024-01-01,0.936,0.7,0.943
2024-02-01,0.918,0.3,0.921
2024-03-01,0.064,0.0,0.064
